0:0:0:0:0:0:0:1 - - [03/Nov/2020:07:35:56 +0530] "GET /_images_/background_logo.png HTTP/1.1" 200 44521
0:0:0:0:0:0:0:1 - - [03/Nov/2020:07:36:01 +0530] "GET /admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:07:36:01 +0530] "GET /favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/Nov/2020:07:36:01 +0530] "GET /admin/AdminTool.swf?v=2.2.0 HTTP/1.1" 200 756249
0:0:0:0:0:0:0:1 - - [03/Nov/2020:07:36:10 +0530] "GET /admin/modules/Dashboard.swf?v=2.2.0 HTTP/1.1" 200 198051
0:0:0:0:0:0:0:1 - - [03/Nov/2020:07:36:15 +0530] "GET /admin/modules/ZoneConfigurator.swf?v=2.2.0 HTTP/1.1" 200 105051
0:0:0:0:0:0:0:1 - - [03/Nov/2020:07:36:52 +0530] "GET /admin/modules/ZoneMonitor.swf?v=2.2.0 HTTP/1.1" 200 554865
0:0:0:0:0:0:0:1 - - [03/Nov/2020:07:38:06 +0530] "GET /admin/modules/ServerConfigurator.swf?v=2.2.0 HTTP/1.1" 200 105580
0:0:0:0:0:0:0:1 - - [03/Nov/2020:11:00:43 +0530] "GET /_images_/favicon.png HTTP/1.1" 200 794
127.0.0.1 - - [03/Nov/2020:13:11:14 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 51
127.0.0.1 - - [03/Nov/2020:13:11:14 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 -
127.0.0.1 - - [03/Nov/2020:13:11:14 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 124
127.0.0.1 - - [03/Nov/2020:13:11:14 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 -
127.0.0.1 - - [03/Nov/2020:13:11:15 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 88
127.0.0.1 - - [03/Nov/2020:13:11:16 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 -
127.0.0.1 - - [03/Nov/2020:13:11:19 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 51
127.0.0.1 - - [03/Nov/2020:13:11:19 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 -
127.0.0.1 - - [03/Nov/2020:13:11:19 +0530] "POST /BlueBox/BlueBox.do HTTP/1.1" 200 124
